"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685145701,46757.767174212,0.6388882411896,"LM_AP"
"NJ2020","1","1","T0_T6","c_V1","VP",-122215.337349332,40383.7189012798,0.566799642479401,"LM_AP"
"NJ2020","1","1","T0_T6","c_V2","VP",-29237.0560267039,8810.55962202791,0.611366963442567,"LM_AP"
"NJ2020","1","1","T0_T6","c_V3","VP",-13096.2917696643,8776.58111821576,0.241325573444183,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",56105.1883439944,71773.315363877,0.080285144818848,"LM_AP"
"NJ2020","1","1","T0_T6","c_V1","VPC",56848.6497842355,55753.0089743838,0.129319615983002,"LM_AP"
"NJ2020","1","1","T0_T6","c_V2","VPC",-5790.11120373224,13882.3325321069,0.0242487850629817,"LM_AP"
"NJ2020","1","1","T0_T6","c_V3","VPC",5046.64976349167,9149.52032983509,0.0416519099113655,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",220653.873489695,118531.082538089,NA,"LM_AP"
"NJ2020","1","1","T0_T6","c_V1","Diff",179063.987133568,96136.7278756636,NA,"LM_AP"
"NJ2020","1","1","T0_T6","c_V2","Diff",23446.9448229717,22692.8921541348,NA,"LM_AP"
"NJ2020","1","1","T0_T6","c_V3","Diff",18142.941533156,17926.1014480508,NA,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685145701,52990.6033666488,0.841342985550819,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_V1","VP",-122215.337349332,40601.9432487191,0.941852966959172,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_V2","VP",-29237.056026704,4236.76007398341,0.759183971257952,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_V3","VP",-13096.2917696643,8720.68559032136,0.303566920503946,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",56105.1883439937,77540.7146536337,0.488076138379556,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_V1","VPC",56848.6497842351,60146.4151289475,0.624835057375221,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_V2","VPC",-5790.11120373233,16232.4495689932,0.880657442409838,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_V3","VPC",5046.6497634916,9139.32529836517,0.525148241515057,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",220653.873489695,130531.318020283,NA,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_V1","Diff",179063.987133567,100748.358377667,NA,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_V2","Diff",23446.9448229716,20469.2096429766,NA,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_V3","Diff",18142.9415331559,17860.0108886865,NA,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685145701,48912.6880507486,0.918813881820571,"LM_AR"
"NJ2020","1","1","T0_T6","c_V1","VP",-122215.337349332,19589.0454689357,0.974952826196311,"LM_AR"
"NJ2020","1","1","T0_T6","c_V2","VP",-29237.056026704,12705.8123523286,0.841142669972926,"LM_AR"
"NJ2020","1","1","T0_T6","c_V3","VP",-13096.2917696643,16617.830229485,0.383127572205964,"LM_AR"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",56105.1883439938,52252.8665803891,0.535506902104831,"LM_AR"
"NJ2020","1","1","T0_T6","c_V1","VPC",56848.649784235,37115.025321472,0.701141849784047,"LM_AR"
"NJ2020","1","1","T0_T6","c_V2","VPC",-5790.1112037323,7945.71043308949,0.346839345091024,"LM_AR"
"NJ2020","1","1","T0_T6","c_V3","VPC",5046.64976349161,7192.13082582747,0.329924676236475,"LM_AR"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",220653.873489695,101165.554631138,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_V1","Diff",179063.987133567,56704.0707904077,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_V2","Diff",23446.9448229717,20651.5227854181,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_V3","Diff",18142.9415331559,23809.9610553125,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685145701,48912.6880507486,0.918813881820571,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_V1","VP",-122215.337349332,19589.0454689357,0.974952826196311,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_V2","VP",-29237.056026704,12705.8123523286,0.841142669972926,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_V3","VP",-13096.2917696643,16617.830229485,0.383127572205964,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",56105.1883439938,52252.8665803891,0.535506902104831,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_V1","VPC",56848.649784235,37115.025321472,0.701141849784047,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_V2","VPC",-5790.1112037323,7945.71043308949,0.346839345091024,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_V3","VPC",5046.64976349161,7192.13082582747,0.329924676236475,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",220653.873489695,101165.554631137,0.8263065578769,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_V1","Diff",179063.987133567,56704.0707904076,0.908860011272373,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_V2","Diff",23446.9448229717,20651.5227854181,0.563136751944574,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_V3","Diff",18142.9415331559,23809.9610553124,0.367340100230984,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685145701,48912.6880507485,0.918813881820571,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_V1","VP",-122215.33734933,19589.0454689363,0.974952826196309,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_V2","VP",-29237.0560267039,12705.8123523286,0.841142669972924,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_V3","VP",-13096.2917696644,16617.8302294849,0.38312757220597,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",56105.1883439938,52252.8665803889,0.535506902104827,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_V1","VPC",56848.6497842345,37115.0253214721,0.701141849784041,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_V2","VPC",-5790.11120373224,7945.71043308945,0.346839345091023,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_V3","VPC",5046.64976349158,7192.13082582749,0.329924676236472,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",220653.873489694,101165.554631138,0.826306557876898,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_V1","Diff",179063.987133565,56704.0707904083,0.908860011272368,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_V2","Diff",23446.9448229715,20651.5227854181,0.56313675194457,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_V3","Diff",18142.941533156,23809.9610553124,0.367340100230987,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_Viruses","VP",12395.1670220322,12395.1670220322,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V1","VP",0,0,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V2","VP",8927.65293060663,8927.65293060663,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V3","VP",16601.0853327031,8308.86749138242,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",227860.696517412,165059.361914494,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V1","VPC",206457.329599333,133935.120113996,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V2","VPC",8776.80263105777,8776.80263105777,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V3","VPC",28353.1971881056,12655.1283401235,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",215465.52949538,NA,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V1","Diff",206457.329599333,NA,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V2","Diff",-150.850299548867,NA,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V3","Diff",11752.1118554025,NA,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_Viruses","VP",0,NA,NA,"VPCL_AR"
"NJ2020","1","1","T0_T6","c_V1","VP",0,NA,NA,"VPCL_AR"
"NJ2020","1","1","T0_T6","c_V2","VP",0,NA,NA,"VPCL_AR"
