"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T6","c_V2","Diff",106572.325559002,23558.1622697044,NA,"LM_AR"
"NJ2020","1","1","T0_T24","c_V2","Diff",-6196.44004425699,2379.91130496342,NA,"LM_AR"
"NJ2020","1","1","T0_T17","c_V2","Diff",28664.7359605465,5576.5334079848,NA,"LM_AR"
"NJ2020","1","1","T0_T20","c_V2","Diff",5043.12753308829,3381.5477611077,NA,"LM_AR"
"NJ2020","1","1","T0_T3","c_V3","Diff",-29108.3788701145,NA,NA,"LM_AR"
"NJ2020","1","1","T0_T6","c_V3","Diff",63429.7867933337,23969.1761138544,NA,"LM_AR"
"NJ2020","1","1","T0_T24","c_V3","Diff",-163.938158593829,3248.74186810548,NA,"LM_AR"
"NJ2020","1","1","T0_T17","c_V3","Diff",19436.9318709636,5807.81324387572,NA,"LM_AR"
"NJ2020","1","1","T0_T20","c_V3","Diff",5353.69550652905,4315.66715408336,NA,"LM_AR"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-82274.3425728493,NA,1,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422885,343143.844425822,0.795419979137091,"LM_AR_Diff"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843833,94754.4188036004,0.113887483332996,"LM_AR_Diff"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,157642.620600874,0.247865201992371,"LM_AR_Diff"
"NJ2020","1","1","T0_T20","c_Viruses","VP",9892.29253621616,126357.933243145,0.00203883116021583,"LM_AR_Diff"
"NJ2020","1","1","T0_T3","c_V1","VP",-91978.6000682117,NA,1,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V1","VP",-516595.62972887,245152.756377079,0.816191989752507,"LM_AR_Diff"
"NJ2020","1","1","T0_T24","c_V1","VP",56932.7899915126,71301.1914381678,0.137480278339725,"LM_AR_Diff"
"NJ2020","1","1","T0_T17","c_V1","VP",-88571.2349202271,120394.353711286,0.212976183282041,"LM_AR_Diff"
"NJ2020","1","1","T0_T20","c_V1","VP",14236.1993133577,95483.7710902718,0.00735531976944298,"LM_AR_Diff"
"NJ2020","1","1","T0_T3","c_V2","VP",-5629.696885911,NA,1,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V2","VP",-103574.989834223,56548.7412495647,0.770367221269647,"LM_AR_Diff"
"NJ2020","1","1","T0_T24","c_V2","VP",10105.5027479126,15472.1581048752,0.0963705715037143,"LM_AR_Diff"
"NJ2020","1","1","T0_T17","c_V2","VP",-23831.1994184227,23743.5091277154,0.33497375450781,"LM_AR_Diff"
"NJ2020","1","1","T0_T20","c_V2","VP",-742.544646047565,20015.5551471357,0.000458552868475246,"LM_AR_Diff"
"NJ2020","1","1","T0_T3","c_V3","VP",15333.9543812737,NA,1,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_V3","VP",-56446.2958597936,41442.3467991788,0.649757372762128,"LM_AR_Diff"
"NJ2020","1","1","T0_T24","c_V3","VP",901.314244957727,8183.44577586322,0.00302346535923823,"LM_AR_Diff"
"NJ2020","1","1","T0_T17","c_V3","VP",-15579.4742999754,13997.5327024809,0.3824881132352,"LM_AR_Diff"
"NJ2020","1","1","T0_T20","c_V3","VP",-3601.36213109462,11111.612293899,0.033830731831055,"LM_AR_Diff"
"NJ2020","1","1","T0_T3","c_Viruses","VPC",-37754.0867093095,NA,1,"LM_AR_Diff"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",100597.014925373,79877.0457714659,0.613314966295877,"LM_AR_Diff"
